event_name,round_num,average_residual,rmse,r_squared,year
Farmers Insurance Open,1,2.2020704738006573,2.7584966181732757,0.09710548241198547,2026
Farmers Insurance Open,1,2.202070473800658,2.7584966181732753,0.09710548241198569,2026
Farmers Insurance Open,1,2.202070473800658,2.7584966181732753,0.09710548241198569,2026
Farmers Insurance Open,1,2.202070473800658,2.7584966181732753,0.09710548241198569,2026
Farmers Insurance Open,1,2.202070473800658,2.7584966181732753,0.09710548241198569,2026
Farmers Insurance Open,2,2.110027635249212,2.6533673601149648,0.019401510834105795,2026
Farmers Insurance Open,2,2.110027635249212,2.6533673601149648,0.019401510834105795,2026
Farmers Insurance Open,2,2.110027635249212,2.6533673601149648,0.019401510834105795,2026
Farmers Insurance Open,3,2.111705212038851,2.728041006043882,0.041562430263050176,2026
Farmers Insurance Open,2,2.109883181908831,2.653319950996518,0.019452738133192926,2026
Farmers Insurance Open,3,2.172500791166793,2.773262227869325,0.013993014843304286,2026
Farmers Insurance Open,2,2.109883181908831,2.653319950996518,0.019452738133192926,2026
Farmers Insurance Open,3,2.172500791166793,2.773262227869325,0.013993014843304286,2026
Farmers Insurance Open,3,2.172500791166793,2.773262227869325,0.013993014843304286,2026
